STT_Goc,Chuong,Ten_Chuong,Tu_Vung,Nghia
444,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),誘い合わせる (さそいあわせる),"hẹn nhau, rủ nhau"
445,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),隣り合わせる (となりあわせる),cạnh nhau
446,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),組み合わせる (くみあわせる),ghép lại; kết hợp; liên kết lại; liên kết; phối hợp
447,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),詰め合わせる (つめあわせる),"đóng gói, đóng hộp"
448,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),重ね合わせる (かさねあわせる),"xếp chồng lên, tựa như"
449,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),居合わせる (いあわせる),tình cờ gặp
450,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),乗り合わせる (のりあわせる),"đi cùng chuyến, đi chung xe"
451,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),持ち合わせる (もちあわせる),"có trong tay, có mang theo"
452,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),問い合わせる (といあわせる),hỏi; hỏi thăm
453,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),照らし合わせる (てらしあわせる),"so sánh, đối chiếu"
454,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),聞き直す (ききなおす),"nghe lại, hỏi lại"
455,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),やり直す (やりなおす),"làm lại, bắt đầu lại"
456,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),かけ直す (かけなおす),gọi lại
457,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),出直す (でなおす),"làm lại từ đầu, trở lại"
458,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),持ち直す (もちなおす),chuyển biến tốt
459,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),考え直す (かんがえなおす),"xem lại, suy nghĩ lại"
460,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),思い直す (おもいなおす),nghĩ lại; thay đổi ý định; đổi ý
461,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),アンテナ,"ăng ten, nghe ngóng"
462,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),イヤホン,tai nghe
463,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),サイレン,"tiếng chuông (chuông tan ca, chuông báo cháy)"
464,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),コード,"dây (điện), mã số"
465,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),モニター,"màn hình, khảo sát"
466,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),メーター,đồng hồ đo
467,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),ペア,"một cặp, ghép đôi"
468,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),リズム,"giai điệu, nhịp"
469,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),アクセント,"trọng âm, điểm nhấn"
470,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),アルファベット,bảng chữ cái
471,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),アドレス,địa chỉ
472,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),メモ,ghi chú
473,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),マーク,"đánh dấu, kí hiệu"
474,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),イラスト,"hình minh họa, bức họa"
475,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),サイン,"chữ kí, dấu hiệu"
476,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),スター,"ngôi sao nổi tiếng, thần tượng"
477,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),アンコール,"yêu cầu của khán giả, diễn thêm tặng khán giả"
478,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),モデル,"người mẫu, mô hình"
479,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),サンプル,hàng mẫu
480,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),スタイル,"kiểu cách, phong cách"
481,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),ウエスト,"eo, vòng eo"
482,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),カロリー,calo
483,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),オーバー,"quá, vượt quá"
484,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),コントロール,"kiểm soát, điều khiển"
485,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),カーブ,"khúc cua, đường cong"
486,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),コース,"khóa học, phần ăn, đường chạy (marathon)"
487,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),レース,"cuộc đua, ren (viên áo – quần)"
488,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),リード,dẫn đầu
489,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),トップ,đầu bảng
490,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),ゴール,"về đích, kết thúc, điểm đích"
491,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),パス,"vượt qua, đường chuyền"
492,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),ベスト,tốt nhất
493,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),レギュラー,"thông thường, chính thức"
494,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),コーチ,huấn luyện viên
495,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),キャプテン,đội trưởng
496,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),サークル,câu lạc bộ
497,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),キャンパス,"khuôn viên, sân bãi trường học"
498,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),オリエンテーション,"định hướng, buổi giới thiệu"
499,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),カリキュラム,"giáo án, chương trình giảng dạy"
500,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),プログラム,"chương trình, lập trình"
501,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),レッスン,bài học
502,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),レクリエーション,"giải trí, nghỉ giải lao"
503,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),レジャー,"vui chơi, rảnh rỗi"
504,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),ガイド,hướng dẫn
505,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),シーズン,mùa
506,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),$x^{*}1+(7^{\circ}>7),"bảng giờ tàu chạy, kim cương"
507,13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),ウイークデー,ngày trong tuần
508,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",サービス,dịch vụ
509,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",アルコール,"cồn, rượu"
510,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",デコレーション,trang trí
511,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",最も (もっとも),"...nhất, vô cùng; cực kỳ = 一番, tuy nhiên"
512,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",ほぼ,"gần như, hầu như"
513,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",相当 (そうとう),"Tương đối, khá = かなり"
514,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",割合 (わりあい),"tương đối, khá là, tỷ lệ"
515,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",多少 (たしょう),"một chút, ít nhiều = 少し"
516,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",少々 (しょうしょう),"một chút, một lát"
517,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",すべて,mọi thứ
518,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",何もかも (なにもかも),"Bất cứ thứ gì, mọi thứ"
519,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",たっぷり,"đủ, nhiều, đầy ắp, lỏng lẻo, rộng rãi"
520,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",できるだけ,cố gắng hết sức
521,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",次第に (しだいに),"dần dần, từng chút một (=だんだん)"
522,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",徐々に (じょじょに),"Chầm chậm, dần dần"
523,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",さらに,"hơn nữa, ngoài ra"
524,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",一層 (いっそう),"hơn, hơn nữa"
525,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",一段と (いちだんと),"hơn hẳn, hơn 1 bậc"
526,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",より,hơn
527,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",結局 (けっきょく),"kết cục, rốt cuộc"
528,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",ようやく,cuối cùng
529,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",再び (ふたたび),lần nữa
530,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",たちまち,"ngay lập tức, đột nhiên"
531,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",今度 (こんど),"lần này, sắp tới, lần tới"
532,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",今後 (こんご),"từ bây giờ trở đi, sắp tới"
533,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",後(に) (のち(に)),sau đó
534,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",まもなく,"chẳng mấy chốc, sắp"
535,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",そのうち(に),"sẽ sớm thôi, 1 lúc nữa"
536,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",やがて,"chẳng mấy chốc, sắp sủa, hầu như, sau cùng"
537,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",いずれ,"1 ngày nào đó, sớm muộn gì thì, đằng nào"
538,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",先ほど (さきほど),"mới lúc trước, cách đây không lâu, lúc nãy"
539,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",とっくに,"thời gian trức đây, lâu rồi"
540,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",すでに,đã...
541,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",事前に (じぜんに),trước
542,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",当日 (とうじつ),hôm ấy
543,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",当時 (とうじ),"lúc đó, khi ấy, hồi đó"
544,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",一時 (いちじ),"tạm thời, nhất thời, có lúc"
545,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",至急 (しきゅう),"khẩn cấp, ngay lập tức"
546,14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",直ちに (ただちに),ngay lập tức
547,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",早速 (さっそく),"nhanh chóng, luôn và ngay"
548,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",いきなり,"đột ngột, đột nhiên"
549,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",常に (つねに),"luôn luôn, lúc nào cũng"
550,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",絶えず (たえず),"liên tục, triền miên"
551,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",しばしば,"rất thường xuyên, không ngừng"
552,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",たびたび,"hay, nhiều lần, thường xuyên"
553,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",しょっちゅう,"suốt ngày, thường xuyên"
554,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",たまに,thỉnh thoảng
555,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",めったに,hiếm khi
556,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",にこにこ,tươi cười
557,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",にやにや,cười toe toét
558,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",どきどき,hồi hộp
559,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",はらはら,"áy náy, lo lắng"
560,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",かんかん,"bừng bừng, nổi giận"
561,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",びしょびしょ,"ướt sũng, chèm chẹp"
562,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",うろうろ,"lượn đi lượn lại, tha thẩn"
563,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",のろのろ,"chậm chạp, vụng về, lúng túng"
564,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",ふらふら,"chóng mặt, choáng váng, lông bông"
565,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",ぶらぶら,"loanh quanh, lang thang, lảng vảng"
566,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",したがって,"sở dĩ; vì vậy; do vậy ( đưa ra kết luận), theo đó"
567,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",だが,"tuy nhiên, tuy vậy, mặc dù"
568,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",ところが,"vậy mà, tuy nhiên, nhưng"
569,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",しかも,đã vậy lại còn
570,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",すると,"lập tức,, khi đó, rồi thì"
571,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",なぜなら,bởi vì là
572,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",だって,"vì là, do là, dẫu vậy, tuy vậy"
573,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",要するに (ようするに),"tóm lại, chủ yếu là"
574,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",すなわち,nói cách khác
575,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",あるいは,"hoặc, có lẽ"
576,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",さて,"và sau đây, tiếp theo"
577,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",では,"ngay sau đây, vậy thì"
578,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",ところで,"Nhân tiện, mà này..."
579,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",そう言えば (そういえば),"Nhắc mới nhớ, nói vậy thi...."
580,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",ただ,"Tuy... thế nhưng ..., ngoại trừ 1 điều, miễn phí"
581,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",食料 (しょくりょう),"đồ ăn, thực phẩm"
582,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",粒 (つぶ),"hạt, viên, giọt"
583,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",くず,"vụn rác, đồ cặn bã, đồ thừa"
584,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",栽培 (さいばい),"nuôi trồng, trồng trọt"
585,15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",収穫 (しゅうかく),"thu hoạch, lĩnh hội, gặt hái"
586,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",産地 (さんち),nơi sản xuất
587,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",土地 (とち),đất đai
588,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",倉庫 (そうこ),kho bãi
589,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",所有 (しょゆう),sở hữu
590,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",収集 (しゅうしゅう),"thu thập, thu gom"
591,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",滞在 (たいざい),"ở, lưu trú"
592,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",便 (べん),thuận tiện
593,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",便 (びん),"chuyến, tuyến"
594,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",設備 (せつび),thiết bị
595,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",設計 (せっけい),thiết kế
596,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",制作・製作 (せいさく),"chế tạo, sáng tác"
597,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",製造 (せいぞう),"chế tạo, sản xuất"
598,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",建築 (けんちく),"kiến thiết, xây dựng"
599,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",人工 (じんこう),"nhân tạo, nhân công"
600,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",圧力 (あつりょく),"áp lực, sức ép"
601,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",刺激 (しげき),"kích thích, khiêu khích"
602,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",摩擦 (まさつ),"ma sát, mâu thuẫn"
603,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",立場 (たちば),"lập trường, quan điểm"
604,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",役割 (やくわり),"vai trò, phận sự"
605,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",分担 (ぶんたん),"chia sẻ, gánh vác"
606,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",担当 (たんとう),"chịu trách nhiệm, đảm đương"
607,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",交代・交替 (こうたい),"luân phiên, thay đổi"
608,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",代理 (だいり),"đại diện, thay thế"
609,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",審判 (しんぱん),"thẩm phám, trọng tài"
610,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",監督 (かんとく),"đạo diễn, giám sát, HLV"
611,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",予測 (よそく),dự đoán
612,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",予期 (よき),mong đợi
613,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",判断 (はんだん),"suy xét, xem xét"
614,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",評価 (ひょうか),"đánh giá, bình phẩm"
615,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",指示 (しじ),"chỉ dẫn, chỉ thị"
616,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",無視 (むし),"bỏ qua, ngó ngơ"
617,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",無断 (むだん),tự ý tự tiện
618,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",承知 (しょうち),"hiểu rõ, thừa nhận, thấu hiểu"
619,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",納得 (なっとく),"tiếp thụ, lĩnh hội, nắm bắt"
620,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",疑問 (ぎもん),"nghi vấn, thắc mắc"
621,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",推測 (すいそく),"phỏng đoán, dự đoán"
622,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",肯定 (こうてい),khẳng định
623,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",参考 (さんこう),tham khảo
624,16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",程度 (ていど),mức độ; trình độ
625,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",評判 (ひょうばん),"đánh giá, có tiếng là"
626,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",批評 (ひひょう),"bình luận, đánh giá"
627,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",推薦 (すいせん),"tiến cử, giới thiệu"
628,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",信用 (しんよう),"Tín nhiệm, sự tin tưởng"
629,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",信頼 (しんらい),"Tin cậy, tín nhiệm"
630,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",尊重 (そんちょう),"tôn trọng, coi trọng"
631,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",作業 (さぎょう),"công việc, thao tác"
632,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",工夫 (くふう),"Sáng kiến, phát minh, đào sâu nghiên cứu"
633,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",消化 (しょうか),"tiêu hóa, tiêu thụ, thực hiện xong, đạt được"
634,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",吸収 (きゅうしゅう),"hấp thụ, thấm"
635,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",設置 (せっち),"Lắp đặt, bố trí"
636,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",設定 (せってい),"thiết lập, cài đặt"
637,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",調節 (ちょうせつ),"Điều chỉnh ( âm lượng, nhiệt độ )"
638,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",調整 (ちょうせい),"điều chỉnh, sắp xếp, bố trí"
639,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",解放 (かいほう),"giải phóng, giải thoát"
640,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",総合 (そうごう),"tổng hợp, cùng nhau"
641,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",連続 (れんぞく),"liên tục, dài tập"
642,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",持続 (じぞく),"duy trì, tiếp tục"
643,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",中断 (ちゅうだん),"gián đoạn, tạm dừng"
644,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",安定 (あんてい),ổn định
645,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",混乱 (こんらん),"lúng túng, hỗn loạn"
646,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",上昇 (じょうしょう),"tiến lên, tăng lên, bốc lên"
647,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",達成 (たっせい),"đạt được, hoàn thành"
648,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",事情 (じじょう),"tình hình, điều kiện"
649,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",事態 (じたい),"tình thế, tình trạng, sự tình"
650,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",障害 (しょうがい),"khuyết tật, tàn tật"
651,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",福祉 (ふくし),phúc lợi
652,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",社会 (しゃかい),xã hội
653,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",都会 (とかい),"thành phố, thành thị"
654,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",世論 (よろん),dư luận
655,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",民族 (みんぞく),dân tộc
656,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",增大 (ぞうだい),"sự mở rộng, sự tăng thêm"
657,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",增量 (ぞうりょう),tăng thêm lượng
658,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",增税 (ぞうぜい),tăng thuế
